,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
248,"TURKEY BREAST,LO SALT,PREPACKAGED OR DELI,LUNCHEON MEAT",71.1,109,21.81,0.83,2.87,3.51,0.5,3.51,8.0,0.63,21.0,162.0,211.0,772.0,1.33,0.057,0.018,22.8,5.7,0.13,0.32,0.11,0.166,0.128,4.0,0.0,4.0,4.0,66.4,0.09,33.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.09,0.1,2.0,0.0,0.197,0.261,0.184,44.0
249,PEPPERED LOAF  PORK  BF,67.4,149,17.3,6.37,4.4,4.53,0.0,4.61,54.0,1.07,20.0,170.0,394.0,732.0,3.23,0.12,0.06,11.3,0.0,0.38,0.3,3.08,0.53,0.27,2.0,0.0,2.0,2.0,73.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.8,32.0,1.6,2.28,3.0,0.5,46.0
250,"TURKEY SAUSAGE,RED FAT,BROWN&SERVE,CKD",59.59,204,17.0,10.3,2.19,10.92,0.3,0.0,31.0,1.8,21.0,164.0,207.0,721.0,2.31,0.149,0.221,20.8,0.0,0.066,0.151,2.137,0.722,0.234,23.0,0.0,23.0,23.0,92.1,0.28,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,17.0,0.0,2.871,3.876,2.541,58.0
251,"TURKEY BREAST,SLICED,PREPACKAGED",75.98,106,14.81,3.77,3.24,2.2,0.0,0.91,14.0,0.42,19.0,249.0,371.0,898.0,0.94,0.024,0.016,13.0,0.0,0.038,0.145,7.15,0.32,0.41,4.0,0.0,4.0,4.0,30.1,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.2,6.0,0.0,0.906,1.145,1.024,49.0
252,"PORK SAUSAGE,LINK/PATTY,RED FAT,UNPREP",64.21,217,16.75,16.55,2.28,0.2,0.0,0.0,15.0,1.46,18.0,153.0,275.0,581.0,2.42,0.088,0.042,22.7,0.0,0.31,0.17,6.187,0.83,0.27,2.0,0.0,2.0,2.0,57.3,1.05,92.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.99,0.4,16.0,0.0,4.368,5.89,3.025,67.0
253,"PORK SAUSAGE,LINK/PATTY,RED FAT,CKD,PAN-FRIED",55.88,267,20.94,20.32,2.72,0.15,0.0,0.0,19.0,1.91,22.0,185.0,328.0,698.0,3.14,0.088,0.052,30.0,0.0,0.377,0.21,7.737,0.96,0.282,1.0,0.0,1.0,1.0,70.3,1.16,93.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,1.22,1.4,58.0,0.0,6.034,8.02,4.192,82.0
254,"MEATBALLS,FRZ,ITALIAN STYLE",53.67,286,14.4,22.21,2.64,8.06,2.3,3.47,80.0,1.77,31.0,239.0,296.0,666.0,1.66,0.123,0.282,15.3,0.0,0.136,0.23,3.108,0.924,0.202,36.0,0.0,36.0,36.0,45.2,1.0,73.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.42,0.1,2.0,8.2,7.627,9.188,3.346,66.0
255,"BACON,TURKEY,LO NA",58.93,253,13.33,20.0,2.93,4.8,0.0,0.0,10.0,0.72,19.0,145.0,156.0,900.0,1.61,0.063,0.011,19.4,24.0,0.029,0.183,6.222,0.616,0.401,6.0,0.0,6.0,6.0,56.9,0.66,25.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,2.7,0.2,10.0,10.8,6.667,8.571,4.275,100.0
256,"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,CKD W/ H2O,WO/ SALT",82.93,71,1.71,0.46,0.15,14.76,0.8,0.12,1.0,0.57,7.0,20.0,27.0,2.0,0.18,0.0,0.037,3.1,0.0,0.086,0.058,0.799,0.046,0.046,28.0,14.0,14.0,38.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,0.066,0.064,0.165,0.0
257,"CEREALS,CRM OF RICE,CKD W/H2O,WO/SALT",87.5,52,0.9,0.1,0.1,11.4,0.1,0.04,1.0,3.96,3.0,17.0,20.0,1.0,0.16,0.034,0.144,3.0,0.0,0.071,0.018,1.039,0.076,0.027,3.0,0.0,3.0,3.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.027,0.031,0.027,0.0
258,"CEREALS,OATS,REG & QUICK,UNENR,CKD W/ H2O,WO/ SALT",83.61,71,2.54,1.52,0.34,12.0,1.7,0.27,9.0,0.9,27.0,77.0,70.0,4.0,1.0,0.074,0.58,5.4,0.0,0.076,0.016,0.225,0.311,0.005,6.0,0.0,6.0,6.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.08,0.0,0.0,0.3,0.31,0.435,0.559,0.0
259,"CEREALS,OATS,INST,FORT,PLN,PREP W/ H2O",84.03,68,2.37,1.36,0.56,11.67,1.7,0.46,80.0,5.96,26.0,77.0,61.0,49.0,0.62,0.066,0.558,5.0,0.0,0.26,0.215,3.025,0.317,0.29,44.0,39.0,5.0,71.0,4.7,0.0,433.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.4,0.226,0.391,0.426,0.0
260,"CEREALS,OATS,INST,FORT,W/ CINN & SPICE,PREP W/ H2O",76.74,96,2.37,1.21,0.73,18.95,2.0,6.31,61.0,2.11,24.0,80.0,71.0,111.0,0.57,0.082,0.643,1.6,0.0,0.168,0.177,2.155,0.22,0.22,48.0,43.0,4.0,78.0,7.2,0.0,366.0,110.0,110.0,0.0,0.0,0.0,0.0,31.0,0.12,0.0,0.0,0.5,0.191,0.371,0.422,0.0
261,"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,PREP W/ H2O",78.44,88,1.98,0.95,0.72,17.91,1.3,8.71,56.0,2.21,19.0,64.0,85.0,111.0,0.42,0.074,0.466,1.6,0.1,0.179,0.152,2.343,0.188,0.253,50.0,45.0,5.0,82.0,6.0,0.0,460.0,138.0,138.0,0.0,0.0,0.0,0.0,24.0,0.09,0.0,0.0,0.5,0.15,0.283,0.299,0.0
262,"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,CKD W/ H2O,W/ SALT",82.93,71,1.71,0.46,0.15,14.76,0.8,0.12,1.0,0.57,7.0,20.0,27.0,223.0,0.18,0.0,0.037,3.1,0.0,0.086,0.058,0.799,0.046,0.046,28.0,14.0,14.0,38.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,0.066,0.064,0.165,0.0
263,"CEREALS,CORN GRITS,YEL,REG,QUICK,ENR,CKD W/ H2O,W/ SALT",84.36,65,1.23,0.39,0.15,13.86,0.7,0.09,1.0,0.57,5.0,14.0,22.0,223.0,0.14,0.0,0.037,2.7,0.0,0.103,0.058,0.762,0.041,0.035,27.0,14.0,13.0,37.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.02,0.0,0.0,0.0,0.06,0.062,0.13,0.0
264,"APPLES,RAW,WITH SKIN",85.56,52,0.26,0.17,0.19,13.81,2.4,10.39,6.0,0.12,5.0,11.0,107.0,1.0,0.04,0.027,0.035,0.0,4.6,0.017,0.026,0.091,0.061,0.041,3.0,0.0,3.0,3.0,3.4,0.0,54.0,3.0,0.0,0.0,27.0,11.0,0.0,29.0,0.18,0.0,0.0,2.2,0.028,0.007,0.051,0.0
265,"APPLES,RAW,WITHOUT SKIN",86.67,48,0.27,0.13,0.17,12.76,1.3,10.1,5.0,0.07,4.0,11.0,90.0,0.0,0.05,0.031,0.038,0.0,4.0,0.019,0.028,0.091,0.071,0.037,0.0,0.0,0.0,0.0,3.4,0.0,38.0,2.0,0.0,0.0,17.0,13.0,0.0,18.0,0.05,0.0,0.0,0.6,0.021,0.005,0.037,0.0
266,"APPLES,RAW,WO/SKN,CKD,BLD",85.47,53,0.26,0.36,0.28,13.64,2.4,11.01,5.0,0.19,3.0,8.0,88.0,1.0,0.04,0.035,0.118,0.3,0.2,0.016,0.012,0.095,0.046,0.044,1.0,0.0,1.0,1.0,3.4,0.0,44.0,2.0,0.0,0.0,19.0,14.0,0.0,19.0,0.05,0.0,0.0,0.6,0.058,0.014,0.104,0.0
267,"APPLES,RAW,WO/ SKN,CKD,MICROWAVE",84.63,56,0.28,0.42,0.26,14.41,2.8,11.61,5.0,0.17,3.0,8.0,93.0,1.0,0.04,0.046,0.142,0.3,0.3,0.017,0.011,0.061,0.046,0.046,1.0,0.0,1.0,1.0,3.4,0.0,40.0,2.0,0.0,0.0,17.0,13.0,0.0,21.0,0.05,0.0,0.0,0.7,0.068,0.017,0.122,0.0
268,"APPLES,CND,SWTND,SLICED,DRND,UNHTD",82.36,67,0.18,0.49,0.27,16.7,1.7,15.0,4.0,0.23,2.0,5.0,68.0,3.0,0.03,0.053,0.153,0.3,0.4,0.009,0.01,0.073,0.031,0.044,0.0,0.0,0.0,0.0,3.2,0.0,51.0,3.0,0.0,0.0,22.0,17.0,0.0,18.0,0.21,0.0,0.0,0.6,0.08,0.02,0.144,0.0
269,"APPLES,CND,SWTND,SLICED,DRND,HTD",82.28,67,0.18,0.43,0.27,16.84,2.0,14.84,4.0,0.24,3.0,6.0,70.0,3.0,0.05,0.051,0.165,0.3,0.2,0.009,0.01,0.081,0.032,0.044,0.0,0.0,0.0,0.0,3.2,0.0,56.0,3.0,0.0,0.0,24.0,18.0,0.0,18.0,0.21,0.0,0.0,0.6,0.07,0.017,0.126,0.0
270,"APPLES,DRIED,SULFURED,STWD,WO/ SUGAR",84.13,57,0.22,0.07,0.26,15.32,2.0,13.32,3.0,0.33,4.0,9.0,105.0,20.0,0.05,0.044,0.021,0.3,1.0,0.006,0.019,0.129,0.057,0.05,0.0,0.0,0.0,0.0,3.8,0.0,17.0,1.0,0.0,0.0,7.0,6.0,0.0,4.0,0.12,0.0,0.0,0.7,0.012,0.003,0.022,0.0
271,"APPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",88.24,46,0.1,0.13,0.23,11.3,0.2,9.62,8.0,0.12,5.0,7.0,101.0,4.0,0.02,0.012,0.074,0.1,0.9,0.021,0.017,0.073,0.049,0.018,0.0,0.0,0.0,0.0,1.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.01,0.0,0.0,0.0,0.022,0.006,0.039,0.0
272,"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O WO/ VIT C",87.9,47,0.14,0.1,0.32,11.54,0.1,10.93,6.0,0.26,5.0,7.0,126.0,7.0,0.04,0.014,0.063,0.1,0.6,0.003,0.015,0.038,0.063,0.033,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.01,0.0,0.0,0.0,0.018,0.002,0.031,0.0
273,"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)",88.22,42,0.17,0.1,0.24,11.27,1.1,9.39,4.0,0.23,3.0,5.0,74.0,2.0,0.03,0.027,0.025,0.3,1.0,0.026,0.03,0.084,0.041,0.027,3.0,0.0,3.0,3.0,2.2,0.0,29.0,1.0,0.0,0.0,13.0,9.0,0.0,18.0,0.16,0.0,0.0,0.5,0.008,0.002,0.014,0.0
274,"APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY)",81.98,68,0.16,0.17,0.21,17.49,1.2,14.67,3.0,0.12,3.0,6.0,75.0,2.0,0.03,0.032,0.03,0.3,1.7,0.017,0.022,0.072,0.044,0.027,1.0,0.0,1.0,1.0,3.3,0.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,18.0,0.18,0.0,0.0,0.6,0.03,0.007,0.054,0.0
275,"BANANAS,RAW",74.91,89,1.09,0.33,0.82,22.84,2.6,12.23,5.0,0.26,27.0,22.0,358.0,1.0,0.15,0.078,0.27,1.0,8.7,0.031,0.073,0.665,0.334,0.367,20.0,0.0,20.0,20.0,9.8,0.0,64.0,3.0,0.0,25.0,26.0,0.0,0.0,22.0,0.1,0.0,0.0,0.5,0.112,0.032,0.073,0.0
276,"BLACKBERRIES,RAW",88.15,43,1.39,0.49,0.37,9.61,5.3,4.88,29.0,0.62,20.0,22.0,162.0,1.0,0.53,0.165,0.646,0.4,21.0,0.02,0.026,0.646,0.276,0.03,25.0,0.0,25.0,25.0,8.5,0.0,214.0,11.0,0.0,0.0,128.0,0.0,0.0,118.0,1.17,0.0,0.0,19.8,0.014,0.047,0.28,0.0
277,"BLACKBERRIES,CND,HVY SYRUP,SOL&LIQUIDS",75.06,92,1.31,0.14,0.39,23.1,3.4,19.7,21.0,0.65,17.0,14.0,99.0,3.0,0.18,0.133,0.697,0.3,2.8,0.027,0.039,0.287,0.151,0.036,27.0,0.0,27.0,27.0,5.7,0.0,219.0,11.0,0.0,0.0,131.0,0.0,0.0,79.0,0.78,0.0,0.0,13.3,0.005,0.014,0.08,0.0
278,"BLACKBERRIES,FRZ,UNSWTND",82.21,64,1.18,0.43,0.51,15.67,5.0,10.67,29.0,0.8,22.0,30.0,140.0,1.0,0.25,0.12,1.223,0.4,3.1,0.029,0.046,1.207,0.151,0.061,34.0,0.0,34.0,34.0,8.5,0.0,114.0,6.0,0.0,0.0,68.0,0.0,0.0,118.0,1.17,0.0,0.0,19.8,0.015,0.041,0.245,0.0
279,"BLUEBERRIES,RAW",84.21,57,0.74,0.33,0.24,14.49,2.4,9.96,6.0,0.28,6.0,12.0,77.0,1.0,0.16,0.057,0.336,0.1,9.7,0.037,0.041,0.418,0.124,0.052,6.0,0.0,6.0,6.0,6.0,0.0,54.0,3.0,0.0,0.0,32.0,0.0,0.0,80.0,0.57,0.0,0.0,19.3,0.028,0.047,0.146,0.0
280,"BLUEBERRIES,CND,HVY SYRUP,SOL&LIQUIDS",76.78,88,0.65,0.33,0.17,22.06,1.6,20.46,5.0,0.33,4.0,10.0,40.0,3.0,0.07,0.053,0.203,0.1,1.1,0.034,0.053,0.113,0.089,0.036,2.0,0.0,2.0,2.0,4.0,0.0,36.0,2.0,0.0,0.0,22.0,0.0,0.0,53.0,0.38,0.0,0.0,6.4,0.027,0.047,0.144,0.0
281,"BLUEBERRIES,FRZ,UNSWTND",86.59,51,0.42,0.64,0.18,12.17,2.7,8.45,8.0,0.18,5.0,11.0,54.0,1.0,0.07,0.033,0.147,0.1,2.5,0.032,0.037,0.52,0.125,0.059,7.0,0.0,7.0,7.0,5.1,0.0,46.0,2.0,0.0,0.0,28.0,0.0,0.0,68.0,0.48,0.0,0.0,16.4,0.053,0.091,0.279,0.0
282,"BLUEBERRIES,FRZ,SWTND",77.4,85,0.4,0.13,0.12,21.95,2.2,19.72,6.0,0.39,2.0,7.0,60.0,1.0,0.06,0.039,0.262,0.2,1.0,0.02,0.052,0.253,0.125,0.059,7.0,0.0,7.0,7.0,5.5,0.0,49.0,2.0,0.0,0.0,30.0,0.0,0.0,73.0,0.52,0.0,0.0,17.7,0.011,0.018,0.057,0.0
283,"BOYSENBERRIES,FRZ,UNSWTND",85.9,50,1.1,0.26,0.54,12.19,5.3,6.89,27.0,0.85,16.0,27.0,139.0,1.0,0.22,0.08,0.547,0.2,3.1,0.053,0.037,0.767,0.25,0.056,63.0,0.0,63.0,63.0,10.2,0.0,67.0,3.0,0.0,0.0,40.0,0.0,0.0,118.0,0.87,0.0,0.0,7.8,0.009,0.025,0.148,0.0
284,"CHERRIES,SOUR,RED,CND,H2O PK,SOL&LIQUIDS (INCL USDA CMDTY)",89.93,36,0.77,0.1,0.26,8.94,1.1,7.6,11.0,1.37,6.0,10.0,98.0,7.0,0.07,0.07,0.076,0.0,2.1,0.017,0.041,0.177,0.105,0.044,8.0,0.0,8.0,8.0,4.1,0.0,754.0,38.0,0.0,0.0,452.0,0.0,0.0,57.0,0.23,0.0,0.0,1.4,0.023,0.027,0.03,0.0
285,"CHERRIES,SOUR,RED,CND,HVY SYRUP PK,SOL&LIQUIDS",75.66,91,0.73,0.1,0.25,23.27,1.1,22.17,10.0,1.3,6.0,10.0,93.0,7.0,0.06,0.066,0.072,0.0,2.0,0.016,0.039,0.168,0.105,0.044,8.0,0.0,8.0,8.0,4.1,0.0,714.0,36.0,0.0,0.0,428.0,0.0,0.0,57.0,0.23,0.0,0.0,1.4,0.021,0.026,0.029,0.0
286,"CHERRIES,SOUR,RED,FRZ,UNSWTND",87.2,46,0.92,0.44,0.42,11.02,1.6,9.02,13.0,0.53,9.0,16.0,124.0,1.0,0.1,0.09,0.057,0.0,1.7,0.044,0.034,0.137,0.178,0.067,5.0,0.0,5.0,5.0,5.6,0.0,870.0,44.0,0.0,0.0,522.0,0.0,0.0,61.0,0.05,0.0,0.0,1.5,0.1,0.12,0.132,0.0
287,"CHERRIES,SWEET,RAW",82.25,63,1.06,0.2,0.48,16.01,2.1,12.82,13.0,0.36,11.0,21.0,222.0,0.0,0.07,0.06,0.07,0.0,7.0,0.027,0.033,0.154,0.199,0.049,4.0,0.0,4.0,4.0,6.1,0.0,64.0,3.0,0.0,0.0,38.0,0.0,0.0,85.0,0.07,0.0,0.0,2.1,0.038,0.047,0.052,0.0
288,"CHERRIES,SWT,CND,H2O PK,SOL&LIQUIDS",87.05,46,0.77,0.13,0.29,11.76,1.5,10.26,11.0,0.36,9.0,15.0,131.0,1.0,0.08,0.075,0.062,0.0,2.2,0.022,0.041,0.41,0.127,0.03,4.0,0.0,4.0,4.0,4.1,0.0,160.0,8.0,0.0,0.0,96.0,0.0,0.0,57.0,0.23,0.0,0.0,1.4,0.028,0.034,0.038,0.0
289,"CHERRIES,SWT,CND,JUC PK,SOL&LIQUIDS",84.95,54,0.91,0.02,0.31,13.81,1.5,12.31,14.0,0.58,12.0,22.0,131.0,3.0,0.1,0.073,0.061,0.0,2.5,0.018,0.024,0.406,0.127,0.03,4.0,0.0,4.0,4.0,4.7,0.0,125.0,6.0,0.0,0.0,75.0,0.0,0.0,57.0,0.23,0.0,0.0,1.4,0.004,0.005,0.006,0.0
290,"CHERRIES,SWT,CND,LT SYRUP PK,SOL&LIQUIDS",81.56,67,0.61,0.15,0.38,17.29,1.5,15.79,9.0,0.36,9.0,18.0,148.0,3.0,0.1,0.145,0.06,0.0,3.7,0.021,0.041,0.403,0.127,0.03,4.0,0.0,4.0,4.0,4.1,0.0,157.0,8.0,0.0,0.0,94.0,0.0,0.0,57.0,0.23,0.0,0.0,1.4,0.034,0.042,0.046,0.0
291,"CHERRIES,SWT,CND,PITTED,HVY SYRUP PK,SOL & LIQUIDS",77.61,83,0.6,0.15,0.38,21.27,1.4,16.18,9.0,0.35,9.0,18.0,145.0,3.0,0.1,0.142,0.048,0.0,3.6,0.021,0.04,0.396,0.057,0.022,4.0,0.0,4.0,4.0,4.1,0.0,154.0,8.0,0.0,0.0,92.0,0.0,0.0,57.0,0.17,0.0,0.0,0.9,0.034,0.041,0.045,0.0
292,"CHERRIES,SWT,FRZ,SWTND",75.53,89,1.15,0.13,0.83,22.36,2.1,20.26,12.0,0.35,10.0,16.0,199.0,1.0,0.04,0.024,0.109,0.0,1.0,0.027,0.047,0.177,0.127,0.036,4.0,0.0,4.0,4.0,5.6,0.0,189.0,9.0,0.0,0.0,113.0,0.0,0.0,85.0,0.07,0.0,0.0,2.1,0.03,0.036,0.04,0.0
293,"CRANBERRIES,RAW",87.32,46,0.46,0.13,0.12,11.97,3.6,4.27,8.0,0.23,6.0,11.0,80.0,2.0,0.09,0.056,0.267,0.1,14.0,0.012,0.02,0.101,0.295,0.057,1.0,0.0,1.0,1.0,5.5,0.0,63.0,3.0,0.0,0.0,38.0,0.0,0.0,91.0,1.32,0.0,0.0,5.0,0.008,0.018,0.055,0.0
294,"FIGS,RAW",79.11,74,0.75,0.3,0.66,19.18,2.9,16.26,35.0,0.37,17.0,14.0,232.0,1.0,0.15,0.07,0.128,0.2,2.0,0.06,0.05,0.4,0.3,0.113,6.0,0.0,6.0,6.0,4.7,0.0,142.0,7.0,0.0,0.0,85.0,0.0,0.0,9.0,0.11,0.0,0.0,4.7,0.06,0.066,0.144,0.0
295,"FIGS,CND,H2O PK,SOL&LIQUIDS",85.21,53,0.4,0.1,0.3,13.99,2.2,11.79,28.0,0.29,10.0,10.0,103.0,1.0,0.12,0.11,0.088,0.1,1.0,0.023,0.038,0.445,0.069,0.07,2.0,0.0,2.0,2.0,3.3,0.0,38.0,2.0,0.0,0.0,23.0,0.0,0.0,7.0,0.08,0.0,0.0,3.3,0.02,0.022,0.048,0.0
296,"FIGS,CND,LT SYRUP PK,SOL&LIQUIDS",81.26,69,0.39,0.1,0.3,17.95,1.8,16.15,27.0,0.29,10.0,10.0,102.0,1.0,0.11,0.108,0.086,0.2,1.0,0.022,0.038,0.437,0.069,0.07,2.0,0.0,2.0,2.0,4.2,0.0,37.0,2.0,0.0,0.0,22.0,0.0,0.0,8.0,0.1,0.0,0.0,4.2,0.02,0.022,0.048,0.0
297,"FIGS,CND,HVY SYRUP PK,SOL&LIQUIDS",76.33,88,0.38,0.1,0.29,22.9,2.2,20.7,27.0,0.28,10.0,10.0,99.0,1.0,0.11,0.106,0.084,0.2,1.0,0.022,0.037,0.428,0.069,0.07,2.0,0.0,2.0,2.0,5.3,0.0,37.0,2.0,0.0,0.0,22.0,0.0,0.0,11.0,0.12,0.0,0.0,5.3,0.02,0.022,0.048,0.0
298,"GRAPEFRUIT,SECTIONS,CND,H2O PK,SOL&LIQUIDS",89.85,36,0.58,0.1,0.32,9.15,0.4,8.75,15.0,0.41,10.0,10.0,132.0,2.0,0.09,0.067,0.007,0.9,21.8,0.039,0.021,0.249,0.12,0.02,9.0,0.0,9.0,9.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.014,0.014,0.024,0.0
299,"GRAPEFRUIT,SECTIONS,CND,LT SYRUP PK,SOL&LIQUIDS",83.59,60,0.56,0.1,0.31,15.44,0.4,15.04,14.0,0.4,10.0,10.0,129.0,2.0,0.08,0.066,0.007,0.9,21.3,0.038,0.02,0.243,0.12,0.02,9.0,0.0,9.0,9.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.014,0.013,0.024,0.0
300,"GRAPES,AMERICAN TYPE (SLIP SKN),RAW",81.3,67,0.63,0.35,0.57,17.15,0.9,16.25,14.0,0.29,5.0,10.0,191.0,2.0,0.04,0.04,0.718,0.1,4.0,0.092,0.057,0.3,0.024,0.11,4.0,0.0,4.0,4.0,5.6,0.0,100.0,5.0,0.0,1.0,59.0,0.0,0.0,72.0,0.19,0.0,0.0,14.6,0.114,0.014,0.102,0.0
301,"GRAPES,RED OR GRN (EURO TYPE,SUCH AS THOMPSON SEEDLESS),RAW",80.54,69,0.72,0.16,0.48,18.1,0.9,15.48,10.0,0.36,7.0,20.0,191.0,2.0,0.07,0.127,0.071,0.1,3.2,0.069,0.07,0.188,0.05,0.086,2.0,0.0,2.0,2.0,5.6,0.0,66.0,3.0,0.0,1.0,39.0,0.0,0.0,72.0,0.19,0.0,0.0,14.6,0.054,0.007,0.048,0.0
302,"GRAPES,CND,THOMPSON SEEDLESS,H2O PK,SOL&LIQUIDS",88.84,40,0.5,0.11,0.25,10.3,0.6,9.7,10.0,0.98,6.0,18.0,107.0,6.0,0.05,0.056,0.039,0.1,1.0,0.031,0.023,0.13,0.041,0.065,3.0,0.0,3.0,3.0,3.8,0.0,45.0,2.0,0.0,1.0,26.0,0.0,0.0,48.0,0.13,0.0,0.0,9.8,0.035,0.004,0.031,0.0
303,"GRAPES,CND,THOMPSON SEEDLESS,HVY SYRUP PK,SOL&LIQUIDS",79.53,76,0.48,0.1,0.24,19.65,0.6,19.05,10.0,0.94,6.0,17.0,103.0,5.0,0.05,0.054,0.038,0.1,1.0,0.03,0.022,0.125,0.041,0.065,3.0,0.0,3.0,3.0,3.8,0.0,64.0,3.0,0.0,1.0,38.0,0.0,0.0,48.0,0.13,0.0,0.0,9.8,0.033,0.004,0.03,0.0
304,"GRAPE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",84.51,60,0.37,0.13,0.22,14.77,0.2,14.2,11.0,0.25,10.0,14.0,104.0,5.0,0.07,0.018,0.239,0.0,0.1,0.017,0.015,0.133,0.048,0.032,0.0,0.0,0.0,0.0,3.2,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,0.0,0.0,0.0,0.4,0.025,0.003,0.022,0.0
305,"LIME JUC,CND OR BTLD,UNSWTND",92.52,21,0.25,0.23,0.31,6.69,0.4,1.37,12.0,0.23,7.0,10.0,75.0,16.0,0.06,0.03,0.008,0.1,6.4,0.033,0.003,0.163,0.066,0.027,8.0,0.0,8.0,8.0,5.1,0.0,16.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.12,0.0,0.0,0.5,0.026,0.022,0.064,0.0
306,"LOGANBERRIES,FROZEN",84.61,55,1.52,0.31,0.54,13.02,5.3,7.7,26.0,0.64,21.0,26.0,145.0,1.0,0.34,0.117,1.247,0.2,15.3,0.05,0.034,0.84,0.244,0.065,26.0,0.0,26.0,26.0,8.5,0.0,35.0,2.0,0.0,0.0,21.0,0.0,0.0,118.0,0.87,0.0,0.0,7.8,0.011,0.03,0.176,0.0
307,"MELONS,CASABA,RAW",91.85,28,1.11,0.1,0.36,6.58,0.9,5.69,11.0,0.34,11.0,5.0,182.0,9.0,0.07,0.06,0.035,0.4,21.8,0.015,0.031,0.232,0.084,0.163,8.0,0.0,8.0,8.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.05,0.0,0.0,2.5,0.025,0.002,0.039,0.0
308,"MELONS,HONEYDEW,RAW",89.82,36,0.54,0.14,0.41,9.09,0.8,8.12,6.0,0.17,10.0,11.0,228.0,18.0,0.09,0.024,0.027,0.7,18.0,0.038,0.012,0.418,0.155,0.088,19.0,0.0,19.0,19.0,7.6,0.0,50.0,3.0,0.0,0.0,30.0,0.0,0.0,27.0,0.02,0.0,0.0,2.9,0.038,0.003,0.059,0.0
309,"OLIVES,RIPE,CND (SMALL-EXTRA LRG)",79.99,115,0.84,10.68,2.23,6.26,3.2,0.0,88.0,3.3,4.0,3.0,8.0,735.0,0.22,0.251,0.02,0.9,0.9,0.003,0.0,0.037,0.015,0.009,0.0,0.0,0.0,0.0,10.3,0.0,403.0,20.0,0.0,0.0,237.0,9.0,0.0,510.0,1.65,0.0,0.0,1.4,1.415,7.888,0.911,0.0
